Episodio,AgenteID,Passos,Ganhou,Recompensa
154,1,29,1,-2.9
154,2,29,1,72.0
155,1,23,1,-2.2
155,2,23,1,97.5
156,1,23,1,-7.3
156,2,23,1,97.5
157,1,24,1,-17.4
157,2,24,1,92.4
158,1,26,1,-7.6
158,2,26,1,192.0
159,1,26,1,-2.6
159,2,26,1,82.2
160,1,27,1,-2.7
160,2,27,1,186.9
161,1,25,1,-2.5
161,2,25,1,87.3
162,1,28,1,-7.8
162,2,28,1,186.8
163,1,23,1,-2.3
163,2,23,1,97.5
164,1,25,1,-12.5
164,2,25,1,92.3
165,1,26,1,-7.6
165,2,26,1,92.25
166,1,27,1,-12.7
166,2,27,1,82.15
167,1,25,1,-2.5
167,2,25,1,87.3
168,1,24,1,-2.4
168,2,24,1,97.4
169,1,28,1,-7.8
169,2,28,1,186.8
170,1,27,1,-2.7
170,2,27,1,82.15
171,1,24,1,-7.4
171,2,24,1,92.4
172,1,31,1,-23.1
172,2,31,1,176.6
173,1,24,1,-22.4
173,2,24,1,92.2
174,1,24,1,-12.4
174,2,24,1,92.4
175,1,27,1,-12.6
175,2,27,1,82.1
176,1,24,1,-7.4
176,2,24,1,92.4
177,1,28,1,-2.7
177,2,28,1,82.15
178,1,25,1,-12.5
178,2,25,1,92.15
179,1,26,1,-7.6
179,2,26,1,192.0
180,1,25,1,-7.5
180,2,25,1,92.3
181,1,24,1,-2.4
181,2,24,1,92.4
182,1,26,1,-7.6
182,2,26,1,192.0
183,1,26,1,-17.6
183,2,26,1,87.2
184,1,25,1,-7.5
184,2,25,1,92.15
185,1,23,1,-7.3
185,2,23,1,97.5
186,1,25,1,-12.5
186,2,25,1,87.3
187,1,23,1,-2.3
187,2,23,1,97.5
188,1,25,1,-2.5
188,2,25,1,87.3
189,1,25,1,-7.5
189,2,25,1,92.35
190,1,24,1,-2.4
190,2,24,1,92.4
191,1,30,1,-3.0
191,2,30,1,82.0
192,1,28,1,-12.8
192,2,28,1,186.85
193,1,27,1,-7.7
193,2,27,1,186.7
194,1,28,1,-22.8
194,2,28,1,87.1
195,1,24,1,-2.4
195,2,24,1,92.4
196,1,28,1,-8.0
196,2,28,1,186.85
197,1,24,1,-2.4
197,2,24,1,92.4
198,1,24,1,-7.4
198,2,24,1,97.25
199,1,24,1,-2.3
199,2,24,1,92.4
200,1,28,1,-2.8
200,2,28,1,82.1
201,1,26,1,-12.6
201,2,26,1,82.2
202,1,28,1,-7.8
202,2,28,1,181.8
203,1,26,1,-7.6
203,2,26,1,82.2
204,1,23,1,-7.3
204,2,23,1,97.5
205,1,24,1,-2.3
205,2,24,1,97.4
206,1,24,1,-7.4
206,2,24,1,97.5
207,1,27,1,-2.7
207,2,27,1,87.15
208,1,26,1,-2.6
208,2,26,1,192.0
209,1,24,1,-2.4
209,2,24,1,92.4
210,1,26,1,-7.6
210,2,26,1,87.3
211,1,23,1,-12.3
211,2,23,1,97.5
212,1,27,1,-17.7
212,2,27,1,77.1
213,1,25,1,-2.4
213,2,25,1,197.1
214,1,25,1,-2.5
214,2,25,1,87.3
215,1,25,1,-7.5
215,2,25,1,97.45
216,1,26,1,-2.5
216,2,26,1,192.0
217,1,28,1,-2.8
217,2,28,1,186.85
218,1,24,1,-12.3
218,2,24,1,97.5
219,1,27,1,-2.7
219,2,27,1,82.1
220,1,26,1,-17.6
220,2,26,1,192.0
221,1,27,1,-12.7
221,2,27,1,82.15
222,1,25,1,-2.5
222,2,25,1,87.1
223,1,24,1,-12.4
223,2,24,1,97.4
224,1,26,1,-2.6
224,2,26,1,82.2
225,1,26,1,-12.6
225,2,26,1,92.25
226,1,23,1,-2.3
226,2,23,1,97.5
227,1,24,1,-7.4
227,2,24,1,97.25
